controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
rule,dry,1,6.9023671841792,0,0,64.0656160122842,4,0.0110455729166667,0
mpc,dry,1,0.589207373638597,0,0,78.2265365625288,1,0.414088541666667,0
rule,dry,2,6.8617534888335,0,0,63.8866899556259,4,0.00221137152777778,0
mpc,dry,2,0.591857330507491,0,0,78.7715981432438,1,0.440486979166667,0
rule,dry,3,6.98878513934299,0,0,67.486839508461,4,0.00246397569444444,0
mpc,dry,3,0.616869017232618,0,0,79.1566601133754,1,0.385611111111111,0
rule,dry,4,6.90535182544878,0,0,64.1366796808404,4,0.00156119791666667,0
mpc,dry,4,0.566724485746294,0,0,77.1916629868733,1,0.366594618055556,0
rule,dry,5,6.85367810344393,0,0,63.8551430739848,4,0.00166232638888889,0
mpc,dry,5,0.55861350909475,0,0,78.7695649046624,1,0.506261284722222,0
rule,dry,6,6.86854546450501,0,0,64.4001658221788,4,0.00119618055555556,0
mpc,dry,6,0.678157167164473,0,0,76.401011598348,1,0.380868923611111,0
rule,dry,7,6.91955761825227,0,0,64.3000510893163,4,0.00359678819444444,0
mpc,dry,7,0.603239724992265,0,0,77.0458496373653,1,0.378874131944444,0
rule,dry,8,7.10528508984777,0,0,68.6689953284484,5,0.00106467013888889,0
mpc,dry,8,0.581264992390288,0,0,78.3041323690889,1,0.370673611111111,0
rule,dry,9,7.213778694154,0,0,63.643670534931,4,0.00371527777777778,0
mpc,dry,9,0.481499099256056,0,0,78.6985640796013,1,0.364581163194444,0
rule,dry,10,6.92807062031412,0,0,63.9267836128017,4,0.00103385416666667,0
mpc,dry,10,0.691112040980988,0,0,77.8840305532937,1,0.420480034722222,0
rule,dry,11,6.92720111581961,0,0,63.4356295182238,4,0.00206727430555556,0
mpc,dry,11,0.637754606467399,0,0,77.8767690836322,1,0.478503038194444,0
rule,dry,12,6.9041520246042,0,0,64.1860894353321,4,0.00125043402777778,0
mpc,dry,12,0.584962952987868,0,0,76.5210252586973,1,0.511485243055556,0
rule,dry,13,6.93824145762517,0,0,63.6095744377003,4,0.00111111111111111,0
mpc,dry,13,0.687114432645329,0,0,80.4637328417883,1,0.5998671875,0
rule,dry,14,6.80616733656608,0,0,67.5854085185959,4,0.00735199652777778,0
mpc,dry,14,0.536157942439924,0,0,78.1883525329444,1,0.438358940972222,0
rule,dry,15,7.07205433771458,0,0,63.937627447855,4,0.00194140625,0
mpc,dry,15,0.541795366237037,0,0,79.0608224200635,1,0.35840625,0
rule,dry,16,6.94250674333638,0,0,64.3816596284176,4,0.000983072916666667,0
mpc,dry,16,0.644323965849448,0,0,77.3919122884122,1,0.668069444444444,0
rule,dry,17,6.88970516082771,0,0,64.4001528401304,4,0.00189626736111111,0
