Episode,EpisodeReward,EpisodeSteps,AverageReward,GlobalStepCount
1,-345.714950013605,96,-345.714950013605,96
2,-56.3498168111506,96,-201.032383412378,192
3,-61.8274322925169,96,-154.630733039091,288
4,-51.4892065184554,96,-128.845351408932,384
5,-36.6488177358923,96,-110.406044674324,480
6,-185.574994604332,96,-122.934202995992,576
7,-144.088228990514,96,-125.956206709495,672
8,-173.705343879375,96,-131.92484885573,768
9,-209.049806193604,96,-140.494288559938,864
10,-191.681104398117,96,-145.612970143756,960
11,-37.9424184056487,96,-114.835716982961,1056
12,-344.172885289483,96,-143.618023830794,1152
13,-349.316401166099,96,-172.366920718152,1248
14,-96.5758138804139,96,-176.875581454348,1344
15,-114.547272134909,96,-184.66542689425,1440
16,-43.1390649497581,96,-170.421833928792,1536
17,-36.2435104742462,96,-159.637362077165,1632
18,-267.650800834982,96,-169.031907772726,1728
19,-303.609825732805,96,-178.487909726646,1824
20,-211.499523787939,96,-180.469751665628,1920
21,-139.297362776998,96,-190.605246102763,2016
22,-110.203417643489,96,-167.208299338164,2112
23,-40.8249647907656,96,-136.359155700631,2208
24,-371.066834483395,96,-163.808257760929,2304
25,-443.925856611191,96,-196.746116208557,2400
26,-105.274556487623,96,-202.959665362343,2496
27,-59.1166487389185,96,-205.246979188811,2592
28,-37.9996451652857,96,-182.281863621841,2688
29,-37.7956011956995,96,-155.70044116813,2784
30,-382.102360597019,96,-172.760724849038,2880
31,-395.467057634271,96,-198.377694334766,2976
32,-133.986020605027,96,-200.755954630919,3072
33,-120.656571690108,96,-208.739115320854,3168
34,-38.8347120358911,96,-175.515903076103,3264
35,-31.7616723405229,96,-134.299484649037,3360
36,-366.47158099614,96,-160.419187099888,3456
37,-386.428041092674,96,-193.150326335264,3552
38,-205.718330191972,96,-209.922194837933,3648
39,-152.221019093146,96,-221.364736627677,3744
40,-58.0122178449457,96,-188.95572235247,3840
41,-33.0942897107303,96,-152.718445560116,3936
42,-328.653975935498,96,-172.185241093163,4032
43,-376.373832675339,96,-197.756967191686,4128
44,-190.102226714839,96,-212.883718659581,4224
45,-145.27472170858,96,-224.235023596386,4320
46,-90.3231356488205,96,-196.620179061654,4416
47,-32.9645209477798,96,-161.273827047165,4512
48,-344.9748017602,96,-175.199474203988,4608
49,-359.330410558442,96,-195.910413350517,4704
50,-179.783102966269,96,-208.08750186265,4800
51,-128.428937675755,96,-217.620966659152,4896
52,-36.916955619889,96,-188.447264627591,4992
53,-33.504804793372,96,-154.160361839395,5088
54,-382.245434731974,96,-173.374682641108,5184
55,-405.066676145445,96,-199.353878084795,5280
56,-167.140785056756,96,-207.035643025588,5376
57,-163.267408880865,96,-220.065931818897,5472
58,-139.46795865767,96,-199.515247508644,5568
59,-34.1306724483966,96,-166.995273697639,5664
60,-266.899722439331,96,-175.706935644945,5760
61,-368.558154485716,96,-199.719857325942,5856
62,-244.39652477659,96,-220.467814241612,5952
63,-175.357299069255,96,-234.6530636692,6048
64,-172.856783746391,96,-213.714198570642,6144
65,-34.9905623692469,96,-176.706587193022,6240
66,-331.705360236036,96,-193.16304471095,6336
67,-295.852623600782,96,-206.421566182941,6432
68,-210.722391709279,96,-213.547009488102,6528
69,-149.691291249518,96,-225.103071368215,6624
70,-94.6328070835601,96,-207.876379832637,6720
71,-29.4467152430567,96,-173.965235908371,6816
72,-204.597105761104,96,-169.985294006823,6912
73,-139.339764901419,96,-166.383540590039,7008
74,-198.642511668174,96,-168.962113382218,7104
75,-182.682642145841,96,-183.731321359877,7200
76,-113.729818411367,96,-161.93376717741,7296
77,-21.3937714294201,96,-134.487881960274,7392
78,-185.285024299663,96,-131.944145219312,7488
79,-260.454000591276,96,-143.020416153488,7584
80,-219.953765389759,96,-155.552511984108,7680
81,-222.362102232013,96,-174.844050683004,7776
82,-145.858267898201,96,-168.970166896713,7872
83,-23.4344920711669,96,-157.379639613688,7968
84,-316.062455433319,96,-169.121633990203,8064
85,-391.300703487911,96,-189.98344012441,8160
86,-197.833694245188,96,-198.393827707792,8256
87,-161.881891593223,96,-212.442639724172,8352
88,-34.0553501264841,96,-197.319672306854,8448
89,-25.6907985468073,96,-173.843352102407,8544
90,-260.537684882175,96,-177.901744051649,8640
91,-322.636585105205,96,-187.929192338968,8736
92,-206.948998466335,96,-194.038265395781,8832
93,-151.27811603337,96,-206.822627792002,8928
94,-116.447406657722,96,-186.861122914442,9024
95,-23.1380506666598,96,-150.044857632317,9120
96,-405.765184450757,96,-170.838006652874,9216
97,-418.038958129057,96,-196.453713306457,9312
98,-176.755114183264,96,-210.723689712135,9408
99,-185.285098326313,96,-226.683119690086,9504
100,-57.906481199295,96,-206.419999321798,9600
101,-20.9925972622045,96,-176.255600537498,9696
102,-223.809505494999,96,-177.941651240364,9792
103,-336.982381045075,96,-196.512077741535,9888
104,-226.334747456906,96,-207.500811821453,9984
105,-204.419584059445,96,-225.628965160732,10080
106,-127.909294982833,96,-197.843376213939,10176
107,-16.8591534189186,96,-157.725395742925,10272
108,-322.606280782813,96,-172.31051240288,10368
109,-266.543745127441,96,-180.436377082993,10464
110,-238.209830433343,96,-198.466712006398,10560
111,-229.851643598263,96,-219.352616640004,10656
112,-186.312327258125,96,-215.602898816316,10752
113,-12.8674231291723,96,-183.191403024726,10848
114,-312.612671655648,96,-191.8191954446,10944
115,-370.894736733254,96,-208.466710711981,11040
116,-232.175085715341,96,-218.893289785232,11136
117,-237.367173456914,96,-240.944091789031,11232
118,-93.9096816134714,96,-218.074431872097,11328
119,-16.0446179762212,96,-193.024519156975,11424
120,-357.206603636505,96,-204.924196477291,11520
121,-364.340118631335,96,-218.373043980599,11616
122,-166.055592284432,96,-216.347370483229,11712
123,-161.179104911516,96,-231.178538661464,11808
124,-26.6140410875923,96,-202.578675604658,11904
125,-14.169442743338,96,-166.906146205667,12000
126,-357.344968165256,96,-179.423134450658,12096
127,-378.449350459417,96,-193.531352150909,12192
128,-36.5455149897661,96,-187.794935488538,12288
129,-43.7115524609736,96,-190.561628937013,12384
130,-35.0016080081276,96,-158.341129374175,12480
131,-10.6948963026477,96,-122.976607141307,12576
132,-332.214835561333,96,-139.592531468997,12672
133,-327.247701627027,96,-156.199391140548,12768
134,-61.7575381694066,96,-159.713740848729,12864
135,-77.7504127275617,96,-166.071837847152,12960
136,-16.7773890330837,96,-132.015079933934,13056
137,-15.8343503347555,96,-95.7535799214683,13152
138,-292.232451766867,96,-121.322273599178,13248
139,-400.821975756259,96,-157.033315928707,13344
140,-61.3562261821482,96,-159.668777746109,13440
141,-17.018359519334,96,-160.301124067778,13536
142,-15.0394679069331,96,-128.583587302338,13632
143,-8.69192516888868,96,-96.7280096565238,13728
144,-224.601984777363,96,-113.012454317319,13824
145,-338.308741231128,96,-139.068287167676,13920
146,-24.1493497358975,96,-139.805483237957,14016
147,-16.2031890146993,96,-139.842367105952,14112
148,-11.6534931277848,96,-111.784471242044,14208
149,-5.46036066690991,96,-72.2483097331086,14304
150,-284.146363358912,96,-94.527323450785,14400
151,-366.130122681545,96,-129.438499767006,14496
152,-10.5609438876195,96,-128.990647365075,14592
153,-14.7977915112322,96,-129.601233999309,14688
154,-8.11151835368466,96,-107.952187356941,14784
155,-1.6082949264285,96,-74.2821427264713,14880
156,-138.310681751387,96,-85.6982759280203,14976
157,-177.61697040118,96,-101.839654066668,15072
158,-9.89675552803642,96,-101.663980306694,15168
159,-9.1085220333181,96,-102.028796443334,15264
160,-3.82505197154656,96,-73.9966653045978,15360
161,-1.39359182696211,96,-37.5230122191395,15456
162,-271.601432794171,96,-63.6270611097946,15552
163,-371.162206971343,96,-99.2635026558057,15648
164,-7.49880207349506,96,-99.2022310277867,15744
165,-8.03367572651205,96,-99.844769107795,15840
166,-3.14926867453061,96,-86.3286278001094,15936
167,-1.42245358179337,96,-68.7091761181707,16032
168,-14.8843578477339,96,-69.2079363501405,16128
169,-162.557008576853,96,-84.552785004494,16224
170,-9.06238652589035,96,-85.0765184599284,16320
171,-6.61547521393516,96,-85.5987067986257,16416
172,-2.60491282184037,96,-58.6990548013927,16512
173,-2.3715503520318,96,-21.8199891394616,16608
174,-190.59675076732,96,-40.1297840088441,16704
175,-224.401982847901,96,-61.766614720983,16800
176,-7.1940668405906,96,-62.171094537589,16896
177,-8.80436312728912,96,-62.9092854921386,16992
178,-2.97438454770723,96,-61.7182881621359,17088
179,-2.32276213710885,96,-45.6948635181615,17184
180,-384.144605796169,96,-83.2030854451894,17280
181,-397.132078979205,96,-122.254745821716,17376
182,-3.28689224145426,96,-122.322943763678,17472
183,-9.74924205638462,96,-123.060712934113,17568
184,-3.1995580944972,96,-104.320993666831,17664
185,-3.32185411020732,96,-82.2129807930614,17760
186,-225.871914884936,96,-104.080765597496,17856
187,-275.102621214154,96,-130.710591406182,17952
188,-5.15094829855284,96,-130.928247781267,18048
189,-13.3152985448368,96,-132.02750142204,18144
190,-2.94427575043705,96,-93.9074684174665,18240
191,-1.27601858921246,96,-54.3218623784673,18336
192,-224.27189276362,96,-76.4203624306839,18432
193,-208.726853873313,96,-96.3181236123767,18528
194,-3.73779535951209,96,-96.3719473388782,18624
195,-13.6755866623279,96,-97.4073205940903,18720
196,-1.49044973894259,96,-74.969174079491,18816
197,-2.33164543777163,96,-47.6920765018527,18912
198,-14.4603831937773,96,-48.6230199913751,19008
199,-156.563895062473,96,-62.9478796431388,19104
200,-6.43183931500144,96,-63.2966359995952,19200
