retriever,threshold,ood_recall,in_domain_answer_recall,balanced_abstention_accuracy,false_answer_rate,false_abstain_rate
bm25,0.0,0.8,1.0,0.9,0.2,0.0
bm25,3.03529837,0.8,1.0,0.9,0.2,0.0
bm25,6.07059674,0.8,1.0,0.9,0.2,0.0
bm25,9.1058951,0.8,1.0,0.9,0.2,0.0
bm25,12.14119347,0.8,1.0,0.9,0.2,0.0
bm25,15.17649184,0.8,1.0,0.9,0.2,0.0
bm25,18.21179021,0.8,1.0,0.9,0.2,0.0
bm25,21.24708857,0.8,1.0,0.9,0.2,0.0
bm25,24.28238694,0.8,1.0,0.9,0.2,0.0
bm25,27.31768531,1.0,0.909091,0.954545,0.0,0.090909
bm25,30.35298368,1.0,0.818182,0.909091,0.0,0.181818
bm25,33.38828204,1.0,0.818182,0.909091,0.0,0.181818
bm25,36.42358041,1.0,0.727273,0.863636,0.0,0.272727
bm25,39.45887878,1.0,0.636364,0.818182,0.0,0.363636
bm25,42.49417715,1.0,0.545455,0.772727,0.0,0.454545
bm25,45.52947551,1.0,0.363636,0.681818,0.0,0.636364
bm25,48.56477388,1.0,0.363636,0.681818,0.0,0.636364
bm25,51.60007225,1.0,0.090909,0.545455,0.0,0.909091
bm25,54.63537062,1.0,0.090909,0.545455,0.0,0.909091
bm25,57.67066898,1.0,0.090909,0.545455,0.0,0.909091
bm25,63.74126572,1.0,0.0,0.5,0.0,1.0
hybrid,0.0,0.8,1.0,0.9,0.2,0.0
hybrid,0.00163934,0.8,1.0,0.9,0.2,0.0
hybrid,0.00327869,0.8,1.0,0.9,0.2,0.0
hybrid,0.00491803,0.8,1.0,0.9,0.2,0.0
hybrid,0.00655738,0.8,1.0,0.9,0.2,0.0
hybrid,0.00819672,0.8,1.0,0.9,0.2,0.0
hybrid,0.00983607,0.8,1.0,0.9,0.2,0.0
hybrid,0.01147541,0.8,1.0,0.9,0.2,0.0
hybrid,0.01311475,0.8,1.0,0.9,0.2,0.0
hybrid,0.0147541,0.8,1.0,0.9,0.2,0.0
hybrid,0.01639344,0.8,1.0,0.9,0.2,0.0
hybrid,0.01803279,0.8,1.0,0.9,0.2,0.0
hybrid,0.01967213,0.8,1.0,0.9,0.2,0.0
hybrid,0.02131148,0.8,1.0,0.9,0.2,0.0
hybrid,0.02295082,0.8,1.0,0.9,0.2,0.0
hybrid,0.02459016,0.8,1.0,0.9,0.2,0.0
hybrid,0.02622951,0.8,1.0,0.9,0.2,0.0
hybrid,0.02786885,0.8,1.0,0.9,0.2,0.0
hybrid,0.0295082,0.8,1.0,0.9,0.2,0.0
hybrid,0.03114754,0.8,1.0,0.9,0.2,0.0
hybrid,0.03442623,1.0,0.0,0.5,0.0,1.0
